연번 ,구분 ,운영노선명 ,역명,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 
1,공중화장실(장애인),1호선,서울,지하,1,외부,2,지하1층 2번출구 부근,02-6110-1331,05:00~24:00
2,공중화장실(장애인),1호선,시청,지하,1,외부,5,지하1층 5번출구 부근,02-6110-1321,05:00~24:00
3,공중화장실(장애인),1호선,종각,지하,1,외부,1,"지하1층 가게이트 부근 (연결통로 부근, 시청측)",02-6110-1311,05:00~24:00
4,공중화장실(장애인),1호선,종각,지하,1,외부,4,지하1층 다게이트 부근 (종로3가측),02-6110-1311,05:00~24:00
5,공중화장실(장애인),1호선,종로3가,지하,1,외부,1,지하1층 가게이트 부근,02-6110-1301,05:00~24:00
6,공중화장실(장애인),1호선,종로3가,지하,1,내부,11,지하1층 라게이트 부근 (역무실앞) [게이트 내],02-6110-1301,05:00~24:00
7,공중화장실(장애인),1호선,종로5가,지하,1,외부,8,지하1층 지하상가 연결통로앞,02-6110-1291,05:00~24:00
8,공중화장실(장애인),1호선,동대문,지하,1,외부,4,지하1층 4번출입구 부근,02-6110-1281,05:00~24:00
9,공중화장실(장애인),1호선,동묘앞,지상,1,외부,2,1층 역무실 부근,02-6110-1271,05:00~24:00
10,공중화장실(장애인),1호선,동묘앞,지하,1,외부,3,지하1층 3번출입구 부근,02-6110-1271,05:00~24:00
11,공중화장실(장애인),1호선,동묘앞,지하,1,외부,2,하선승강장 7-3지점,02-6110-1271,05:00~24:00
12,공중화장실(장애인),1호선,동묘앞,지하,1,내부,3,상선승강장 4-3지점,02-6110-1271,05:00~24:00
13,공중화장실(장애인),1호선,신설동,지하,1,외부,1,대합실(지하1층) 역무실 앞,02-6110-1261,05:00~24:00
14,공중화장실(장애인),1호선,제기동,지하,1,외부,2,2번출구우측,02-6110-1251,05:00~24:00
15,공중화장실(장애인),1호선,청량리,지하,1,외부,4,4번출구 아래,02-6110-1241,05:00~24:00
16,공중화장실(장애인),2호선,시청,지하,1,내부,10,"지하1층 9,10번출구 옆",02-6110-2011,05:00~24:00
17,공중화장실(장애인),2호선,시청,지하,2,외부,11,지하2층 환승통로,02-6110-2011,05:00~24:00
18,공중화장실(장애인),2호선,을지로입구,지하,1,외부,4,지하1층 다게이트 옆,02-6110-2021,05:00~24:00
19,공중화장실(장애인),2호선,을지로3가,지하,1,외부,2,지하1층 다게이트 옆,02-6110-2031,05:00~24:00
20,공중화장실(장애인),2호선,을지로4가,지하,1,외부,2,"지하1층 1,2번 출구 옆",02-6110-2041,05:00~24:00
21,공중화장실(장애인),2호선,동대문역사문화공원,지하,1,내부,1,대합실 1층 역무실 앞,02-6110-2051,05:00~24:00
22,공중화장실(장애인),2호선,신당,지하,1,외부,2,"대합실 1층 22,23번기둥",02-6110-2061,05:00~24:00
23,공중화장실(장애인),2호선,상왕십리,지하,1,외부,5 또는6,"대합실 1층 5,6번출구 앞",02-6110-2071,05:00~24:00
24,공중화장실(장애인),2호선,왕십리,지하,1,외부,6-1,지하2층 6-1번 출구 쪽,02-6110-2081,05:00~24:00
25,공중화장실(장애인),2호선,한양대,지상,2,외부,2,고객센터 맞은편,02-6110-2091,05:00~24:00
26,공중화장실(장애인),2호선,뚝섬,지상,2,외부,6,역무실 옆,02-6110-2101,05:00~24:00
27,공중화장실(장애인),2호선,성수,지상,2,외부,2,대합실 2층 2번출구측,02-6110-2111,05:00~24:00
28,공중화장실(장애인),2호선,건대입구,지상,2,내부,2,대합실 1층 통로 중앙,02-6110-2121,05:00~24:00
29,공중화장실(장애인),2호선,구의,지상,2,외부,2,대합실 1층 통로 중앙,02-6110-2131,05:00~24:00
30,공중화장실(장애인),2호선,강변,지상,1,외부,2,대합실 1층 통로 중앙,02-6110-2141,05:00~24:00
31,공중화장실(장애인),2호선,잠실나루,지상,1,외부,2,대합실 1층 통로 중앙,02-6110-2151,05:00~24:00
32,공중화장실(장애인),2호선,잠실,지하,1,외부,1,"대합실 1층 1,2번출구 앞",02-6110-2161,05:00~24:00
33,공중화장실(장애인),2호선,잠실새내,지하,1,외부,2,대합실 1층 2번출구 앞,02-6110-2171,05:00~24:00
34,공중화장실(장애인),2호선,종합운동장,지하,1,외부,1,"대합실 1층 1,2번출구 앞 (잠실새내측)",02-6110-2181,05:00~24:00
35,공중화장실(장애인),2호선,종합운동장,지하,1,외부,5,대합실 1층 5번출구 앞 (삼성측),02-6110-2181,05:00~24:00
36,공중화장실(장애인),2호선,삼성,지하,1,외부,3,대합실 1층 통로 중앙,02-6110-2191,05:00~24:00
37,공중화장실(장애인),2호선,선릉,지하,1,외부,1,대합실 1층 1번출구 앞,02-6110-2201,05:00~24:00
38,공중화장실(장애인),2호선,역삼,지하,2,외부,3,대합실 2층 통로 중앙,02-6110-2211,05:00~24:00
39,공중화장실(장애인),2호선,강남,지하,1,내부,12,"대합실 1층 역무실쪽(1,12번출구쪽),게이트내",02-6110-2221,05:00~24:00
40,공중화장실(장애인),2호선,교대,지하,1,외부,4,"대합실 1층 1,2,3,4,번출구 쪽",02-6110-2231,05:00~24:00
41,공중화장실(장애인),2호선,서초,지하,1,외부,1,"대합실1층 (1,2,7,8번 출구쪽),게이트외",02-6110-2241,05:00~24:00
42,공중화장실(장애인),2호선,방배,지하,1,외부,4,"서초방면 대합실 끝(1,4번 출구방향),게이트외",02-6110-2251,05:00~24:00
43,공중화장실(장애인),2호선,사당,지하,1,외부,1,"지하1층 대합실 1,2번 출구 쪽(방배측)",02-6110-2261,05:00~24:00
44,공중화장실(장애인),2호선,사당,지하,1,외부,7,"지하1층 대합실 7,8번 출구 쪽(낙성대측)",02-6110-2261,05:00~24:00
45,공중화장실(장애인),2호선,낙성대,지하,1,외부,5,"대합실 1층 고객안내부스앞(3,4,5,6번출구쪽)",02-6110-2271,05:00~24:00
46,공중화장실(장애인),2호선,서울대입구,지하,1,외부,8,"대합실 1층 (7,8번출구쪽)",02-6110-2281,05:00~24:00
47,공중화장실(장애인),2호선,봉천,지하,1,외부,2,"대합실1층, 안내부스맞은편(1,6번출구쪽)게이트외",02-6110-2291,05:00~24:00
48,공중화장실(장애인),2호선,신림,지하,1,내부,4,"대합실 1층 역무실 맞은편(3,4번출구쪽),게이트내",02-6110-2301,05:00~24:00
49,공중화장실(장애인),2호선,신대방,지상,2,내부,4,"대합실 1층 역무실쪽(1,2번출구쪽), 게이트내",02-6110-2311,05:00~24:00
50,공중화장실(장애인),2호선,구로디지털단지,지상,2,내부,1,"지상2층, 역무실 앞 (게이트내)",02-6110-2321,05:00~24:00
51,공중화장실(장애인),2호선,대림,지상,2,내부,6,"지상2층, 대합실 중앙(게이트내)",02-6110-2331,05:00~24:00
52,공중화장실(장애인),2호선,신도림,지하,1,내부,1,"지하1층 대합실 (게이트내, 1번출구방향)",02-6110-2341,05:00~24:00
53,공중화장실(장애인),2호선,신도림,지하,1,외부,1,"지하1층 대합실(게이트외,1번출구방향)",02-6110-2341,05:00~24:00
54,공중화장실(장애인),2호선,문래,지하,1,외부,3,"지하1층 대합실(게이트외, 2,3번출구방향)",02-6110-2351,05:00~24:00
55,공중화장실(장애인),2호선,영등포구청,지하,1,내부,2,"지하1층 대합실(게이트내, 환승통로입구)",02-6110-2361,05:00~24:00
56,공중화장실(장애인),2호선,당산,지상,2,내부,4,"지상2층, 대합실 중앙(게이트내)",02-6110-2371,05:00~24:00
57,공중화장실(장애인),2호선,합정,지하,1,내부,1,"지하1층대합실, 1,2번출구",02-6110-2381,05:00~24:00
58,공중화장실(장애인),2호선,홍대입구,지하,1,외부,2,"지하1층대합실, 2번출구 옆",02-6110-2391,05:00~24:00
59,공중화장실(장애인),2호선,신촌,지하,1,외부,5,"지하1층대합실, 5번출구 옆",02-6110-2401,05:00~24:00
60,공중화장실(장애인),2호선,이대,지하,1,외부,5,지하1층 대합실 5번출구 옆,02-6110-2411,05:00~24:00
61,공중화장실(장애인),2호선,아현,지하,1,외부,4,지하1층 대합실 이대역방면 끝단,02-6110-2421,05:00~24:00
62,공중화장실(장애인),2호선,충정로,지하,2,외부,6,지하2층 아현방면 끝단,02-6110-2431,05:00~24:00
63,공중화장실(장애인),2호선,신설동,지하,1,내부,7,대합실(지하1층) 역무실 옆,02-6110-1371,05:00~24:00
64,공중화장실(장애인),2호선,용두,지하,1,외부,5,(내선대합실)5번출구 입구,02-6110-1361,05:00~24:00
65,공중화장실(장애인),2호선,용두,지하,1,외부,2,"(외선대합실)1,2번 출구 입구",02-6110-1361,05:00~24:00
66,공중화장실(장애인),2호선,용두,지하,1,내부,5,(내선승강장)3-3 승강장 앞,02-6110-1361,05:00~24:00
67,공중화장실(장애인),2호선,용두,지하,1,내부,2,(외선승강장)2-2 승강장 앞,02-6110-1361,05:00~24:00
68,공중화장실(장애인),2호선,신답,지상,1,내부,1,1층 대합실,02-6110-1351,05:00~24:00
69,공중화장실(장애인),2호선,용답,지상,1,외부,1,대합실,02-6110-1341,05:00~24:00
